state,group,species_count
Australian Capital Territory,Insects,4866
Australian Capital Territory,Other animals,864
Australian Capital Territory,Birds,419
Australian Capital Territory,Fish,252
Australian Capital Territory,Mammals,93
Australian Capital Territory,Reptiles,80
Australian Capital Territory,Amphibians,37
New South Wales,Insects,20368
New South Wales,Other animals,8789
New South Wales,Fish,1536
New South Wales,Birds,743
New South Wales,Reptiles,398
New South Wales,Mammals,256
New South Wales,Amphibians,117
Northern Territory,Insects,6392
Northern Territory,Other animals,3758
Northern Territory,Fish,826
Northern Territory,Birds,623
Northern Territory,Reptiles,491
Northern Territory,Mammals,234
Northern Territory,Amphibians,83
Queensland,Insects,24477
Queensland,Other animals,12299
Queensland,Fish,2063
Queensland,Birds,726
Queensland,Reptiles,615
Queensland,Mammals,280
Queensland,Amphibians,149
South Australia,Insects,8084
South Australia,Other animals,3946
South Australia,Birds,624
South Australia,Fish,522
South Australia,Reptiles,335
South Australia,Mammals,202
South Australia,Amphibians,35
Tasmania,Insects,6892
Tasmania,Other animals,4498
Tasmania,Fish,478
Tasmania,Birds,420
Tasmania,Mammals,112
Tasmania,Reptiles,42
Tasmania,Amphibians,25
Victoria,Insects,13099
Victoria,Other animals,4654
Victoria,Birds,606
Victoria,Fish,550
Victoria,Mammals,186
Victoria,Reptiles,165
Victoria,Amphibians,62
Western Australia,Insects,11161
Western Australia,Other animals,8417
Western Australia,Fish,1668
Western Australia,Reptiles,628
Western Australia,Birds,623
Western Australia,Mammals,235
Western Australia,Amphibians,100
